,,,,,,
Выручка,Девочка,Мальчик,Месяц,Температура,Дождь,День недели
9860,1,,11,7.9,1,чт
6620,,1,11,10.3,1,пт
7490,,1,11,5.9,1,сб
7970,1,,11,4.9,1,вс
7400,1,,11,1.7,1,пн
8300,1,,11,-1.2,1,вт
6410,,1,11,3.3,1,ср
5880,,1,11,7.1,0,чт
7200,1,,11,5.2,0,пт
6300,1,,11,4,0,сб
7800,,1,11,1.3,0,вс
9860,,1,11,0.8,0,пн
7200,,1,11,3.3,1,вт
6500,1,,11,3.9,1,ср
8200,1,,11,2,1,чт
7300,,1,11,3.9,0,пт
6800,,1,11,3.1,1,сб
8500,,1,11,1.1,0,вс
9360,,1,11,-0.9,0,пн
9530,1,,11,-0.8,0,вт
7730,1,,11,3,1,ср
6730,,1,11,4.9,1,чт
8520,,1,11,2,1,пт
9160,1,,11,-1.7,0,сб
8030,1,,11,-2.6,1,вс
7960,,1,11,-5.8,1,пн
8390,,1,11,-5,1,вт
6920,1,,12,-5.8,1,ср
6320,1,,12,-7.7,0,чт
6100,1,,12,-5.8,0,пт
6460,,1,12,-7.4,1,сб
5820,1,,12,-14.4,1,вс
5350,1,,12,-16.5,1,пн
5270,,1,12,-13.7,1,вт
5800,,1,12,-9.6,1,ср
6240,1,,12,-11.4,0,чт
6100,1,,12,-12,1,пт
6900,1,,12,-4.7,0,сб
5450,,1,12,-4.3,0,вс
7890,,1,12,-0.1,1,пн
6410,1,,12,0.1,0,вт
6660,1,,12,1.4,1,ср
7510,1,,12,2.7,1,чт
6020,,1,12,0.8,0,пт
6770,1,,12,0.9,1,сб
5510,1,,12,-1.7,1,вс
7600,,1,12,-10.9,1,пн
8280,,1,12,-12.8,1,вт
7530,1,,12,-9.7,0,ср
6770,1,,12,-2.7,1,чт
7200,,1,12,-7.6,1,пт
5930,,1,12,-15,1,сб
6380,1,,12,-17.4,1,вс
6670,1,,12,-8.9,1,пн
5800,,1,12,-7.1,0,вт
5620,1,,12,-5.7,0,ср
5300,1,,12,-8.8,0,чт
4030,1,,1,-4.3,1,вт
5590,1,,1,1.7,1,ср
6150,1,,1,-2.4,1,чт
5800,1,,1,-13.6,1,пт
5550,1,,1,-9.2,1,сб
5200,,1,1,-3.7,1,вс
4490,,1,1,-8.2,0,пн
7870,1,,1,-15,1,вт
7290,1,,1,-9.5,0,ср
5600,,1,1,3.1,1,чт
4490,,1,1,0.9,0,пт
5800,,1,1,-0.2,0,сб
6095,1,,1,-0.6,0,вс
